rep,dt,n,cor,sub_n
1,2018-10-24T11:11:01Z,50,0.578259041,50
2,2018-10-24T11:11:01Z,50,0.703246683,50
3,2018-10-24T11:11:01Z,50,0.440280534,50
4,2018-10-24T11:11:01Z,50,0.673295505,50
5,2018-10-24T11:11:01Z,50,0.549134036,50
6,2018-10-24T11:11:01Z,50,0.371847091,50
7,2018-10-24T11:11:01Z,50,0.25076278,50
8,2018-10-24T11:11:01Z,50,0.597254399,50
9,2018-10-24T11:11:01Z,50,0.466375198,50
10,2018-10-24T11:11:01Z,50,0.614082629,50
11,2018-10-24T11:11:01Z,50,0.489295062,50
12,2018-10-24T11:11:01Z,50,0.595451203,50
13,2018-10-24T11:11:01Z,50,0.670678385,50
14,2018-10-24T11:11:01Z,50,0.561226773,50
15,2018-10-24T11:11:01Z,50,0.767565038,50
16,2018-10-24T11:11:01Z,50,0.302166531,50
17,2018-10-24T11:11:01Z,50,0.611404375,50
18,2018-10-24T11:11:01Z,50,0.745844469,50
19,2018-10-24T11:11:01Z,50,0.63763643,50
20,2018-10-24T11:11:01Z,50,0.580104666,50
21,2018-10-24T11:11:01Z,50,0.513903617,50
22,2018-10-24T11:11:01Z,50,0.672628367,50
23,2018-10-24T11:11:01Z,50,0.379196057,50
24,2018-10-24T11:11:01Z,50,0.683688531,50
25,2018-10-24T11:11:01Z,50,0.605011085,50
26,2018-10-24T11:11:01Z,50,0.624837922,50
27,2018-10-24T11:11:01Z,50,0.497611146,50
28,2018-10-24T11:11:01Z,50,0.562467898,50
29,2018-10-24T11:11:01Z,50,0.56077677,50
30,2018-10-24T11:11:01Z,50,0.585529847,50
31,2018-10-24T11:11:01Z,50,0.499120601,50
32,2018-10-24T11:11:01Z,50,0.550724727,50
33,2018-10-24T11:11:01Z,50,0.485621415,50
34,2018-10-24T11:11:01Z,50,0.493621973,50
35,2018-10-24T11:11:01Z,50,0.548606685,50
36,2018-10-24T11:11:01Z,50,0.45138474,50
37,2018-10-24T11:11:01Z,50,0.532374628,50
38,2018-10-24T11:11:01Z,50,0.704381732,50
39,2018-10-24T11:11:01Z,50,0.540864798,50
40,2018-10-24T11:11:01Z,50,0.69448373,50
41,2018-10-24T11:11:01Z,50,0.268131045,50
42,2018-10-24T11:11:01Z,50,0.580603412,50
43,2018-10-24T11:11:01Z,50,0.592385779,50
44,2018-10-24T11:11:01Z,50,0.322145786,50
45,2018-10-24T11:11:01Z,50,0.516645696,50
46,2018-10-24T11:11:01Z,50,0.304810464,50
47,2018-10-24T11:11:01Z,50,0.521198715,50
48,2018-10-24T11:11:01Z,50,0.375369942,50
49,2018-10-24T11:11:01Z,50,0.613176581,50
50,2018-10-24T11:11:01Z,50,0.236803305,50
51,2018-10-24T11:11:01Z,50,0.665460532,50
52,2018-10-24T11:11:01Z,50,0.553358967,50
53,2018-10-24T11:11:01Z,50,0.558304956,50
54,2018-10-24T11:11:01Z,50,0.396319639,50
55,2018-10-24T11:11:01Z,50,0.591267818,50
56,2018-10-24T11:11:01Z,50,0.503028757,50
57,2018-10-24T11:11:01Z,50,0.447991757,50
58,2018-10-24T11:11:01Z,50,0.690705141,50
59,2018-10-24T11:11:01Z,50,0.456245585,50
60,2018-10-24T11:11:01Z,50,0.682270924,50
61,2018-10-24T11:11:01Z,50,0.563400094,50
62,2018-10-24T11:11:01Z,50,0.471350633,50
63,2018-10-24T11:11:01Z,50,0.512980026,50
64,2018-10-24T11:11:01Z,50,0.429256593,50
65,2018-10-24T11:11:01Z,50,0.566714835,50
66,2018-10-24T11:11:01Z,50,0.576281046,50
67,2018-10-24T11:11:01Z,50,0.566872158,50
68,2018-10-24T11:11:01Z,50,0.728108605,50
69,2018-10-24T11:11:01Z,50,0.646607436,50
70,2018-10-24T11:11:01Z,50,0.309839574,50
71,2018-10-24T11:11:01Z,50,0.619233482,50
72,2018-10-24T11:11:01Z,50,0.480642763,50
73,2018-10-24T11:11:01Z,50,0.544412112,50
74,2018-10-24T11:11:01Z,50,0.468225541,50
75,2018-10-24T11:11:01Z,50,0.636233822,50
76,2018-10-24T11:11:01Z,50,0.546076457,50
77,2018-10-24T11:11:01Z,50,0.535529976,50
78,2018-10-24T11:11:01Z,50,0.658267816,50
79,2018-10-24T11:11:01Z,50,0.500755931,50
80,2018-10-24T11:11:01Z,50,0.521420519,50
81,2018-10-24T11:11:01Z,50,-0.114246008,50
82,2018-10-24T11:11:01Z,50,0.520135723,50
83,2018-10-24T11:11:01Z,50,0.527019443,50
84,2018-10-24T11:11:01Z,50,0.62332879,50
85,2018-10-24T11:11:01Z,50,0.599854169,50
86,2018-10-24T11:11:01Z,50,0.511398613,50
87,2018-10-24T11:11:01Z,50,0.533057615,50
88,2018-10-24T11:11:01Z,50,0.413804912,50
89,2018-10-24T11:11:01Z,50,0.622912348,50
90,2018-10-24T11:11:01Z,50,0.399729597,50
91,2018-10-24T11:11:01Z,50,0.486993407,50
92,2018-10-24T11:11:01Z,50,0.379270856,50
93,2018-10-24T11:11:01Z,50,0.278819135,50
94,2018-10-24T11:11:01Z,50,0.5445404,50
95,2018-10-24T11:11:01Z,50,0.612731782,50
96,2018-10-24T11:11:01Z,50,0.370128252,50
97,2018-10-24T11:11:01Z,50,0.537733474,50
98,2018-10-24T11:11:01Z,50,0.506475629,50
99,2018-10-24T11:11:01Z,50,0.598593128,50
100,2018-10-24T11:11:01Z,50,0.387054452,50
1,2018-10-24T11:11:01Z,45,0.413888139,50
2,2018-10-24T11:11:01Z,45,0.615787796,50
3,2018-10-24T11:11:01Z,45,0.355525496,50
4,2018-10-24T11:11:01Z,45,0.633190656,50
5,2018-10-24T11:11:01Z,45,0.566409043,50
6,2018-10-24T11:11:01Z,45,0.660153963,50
7,2018-10-24T11:11:01Z,45,0.357007715,50
8,2018-10-24T11:11:01Z,45,0.613575399,50
9,2018-10-24T11:11:01Z,45,0.369593261,50
10,2018-10-24T11:11:01Z,45,0.403500788,50
11,2018-10-24T11:11:01Z,45,0.332577275,50
12,2018-10-24T11:11:01Z,45,0.558477152,50
13,2018-10-24T11:11:01Z,45,0.45057081,50
14,2018-10-24T11:11:01Z,45,0.682807169,50
15,2018-10-24T11:11:01Z,45,0.688348331,50
16,2018-10-24T11:11:01Z,45,0.538692857,50
17,2018-10-24T11:11:01Z,45,0.491457705,50
18,2018-10-24T11:11:01Z,45,0.682829265,50
19,2018-10-24T11:11:01Z,45,0.586927532,50
20,2018-10-24T11:11:01Z,45,0.49814512,50
21,2018-10-24T11:11:01Z,45,0.455502313,50
22,2018-10-24T11:11:01Z,45,0.557598103,50
23,2018-10-24T11:11:01Z,45,0.353302839,50
24,2018-10-24T11:11:01Z,45,0.450890079,50
25,2018-10-24T11:11:01Z,45,0.201887549,50
26,2018-10-24T11:11:01Z,45,0.625453057,50
27,2018-10-24T11:11:01Z,45,0.389010413,50
28,2018-10-24T11:11:01Z,45,0.449553366,50
29,2018-10-24T11:11:01Z,45,0.56403203,50
30,2018-10-24T11:11:01Z,45,0.626038877,50
31,2018-10-24T11:11:01Z,45,0.443353537,50
32,2018-10-24T11:11:01Z,45,0.252453156,50
33,2018-10-24T11:11:01Z,45,0.517494798,50
34,2018-10-24T11:11:01Z,45,0.284638674,50
35,2018-10-24T11:11:01Z,45,0.503043192,50
36,2018-10-24T11:11:01Z,45,0.635696268,50
37,2018-10-24T11:11:01Z,45,0.452300882,50
38,2018-10-24T11:11:01Z,45,0.584063181,50
39,2018-10-24T11:11:01Z,45,0.493297612,50
40,2018-10-24T11:11:01Z,45,0.46791839,50
